#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1944 04 11  4484  4484.5 1518 12  3.333  1.667  2.333  2.000  1.333  3.333  3.000  3.667   18    6    9    7    5   18   15   22    12   0     -1.0     -1.0 2
1944 04 12  4485  4485.5 1518 13  4.333  2.667  2.333  1.333  1.333  0.333  1.000  0.333   32   12    9    5    5    2    4    2     9   0     -1.0     -1.0 2
1944 04 13  4486  4486.5 1518 14  0.333  1.000  0.333  0.000  0.000  0.000  0.000  0.333    2    4    2    0    0    0    0    2     1   0     -1.0     -1.0 2
1944 04 14  4487  4487.5 1518 15  0.000  0.000  0.333  1.333  0.333  0.333  0.000  0.000    0    0    2    5    2    2    0    0     1   0     -1.0     -1.0 2
1944 04 15  4488  4488.5 1518 16  1.667  0.333  0.333  1.000  2.667  2.667  3.000  4.333    6    2    2    4   12   12   15   32    11   0     -1.0     -1.0 2
1944 04 16  4489  4489.5 1518 17  5.333  4.000  4.667  4.333  4.333  5.667  3.333  2.333   56   27   39   32   32   67   18    9    35   0     -1.0     -1.0 2
1944 04 17  4490  4490.5 1518 18  3.667  3.000  1.000  1.667  2.000  1.667  1.333  2.333   22   15    4    6    7    6    5    9     9  13     -1.0     -1.0 2
1944 04 18  4491  4491.5 1518 19  3.667  1.000  1.333  0.667  0.333  0.667  0.667  1.667   22    4    5    3    2    3    3    6     6   0     -1.0     -1.0 2
1944 04 19  4492  4492.5 1518 20  2.000  0.000  0.333  0.667  1.000  1.000  1.333  0.667    7    0    2    3    4    4    5    3     4   0     -1.0     -1.0 2
1944 04 20  4493  4493.5 1518 21  1.667  2.000  1.000  1.000  1.000  1.000  1.000  0.333    6    7    4    4    4    4    4    2     4   0     -1.0     -1.0 2
1944 04 21  4494  4494.5 1518 22  0.333  1.000  1.000  1.000  2.667  1.333  0.667  0.333    2    4    4    4   12    5    3    2     4   0     -1.0     -1.0 2
1944 04 22  4495  4495.5 1518 23  0.333  0.333  0.333  0.667  0.333  0.667  0.000  0.333    2    2    2    3    2    3    0    2     2   0     -1.0     -1.0 2
1944 04 23  4496  4496.5 1518 24  0.000  0.000  0.333  0.333  0.667  0.333  0.333  0.000    0    0    2    2    3    2    2    0     1   0     -1.0     -1.0 2
